id;jaras_2011;nev_hu;nev_sk;arany_hu;pop_teljes;huar;pop
25;LC;Losonc;Lučenec;82.19;12939;82.19;12 939
155;RS;Rimaszombat;Rimavská Sobota;89.68;6912;89.68;6 912
68;PT;Málnapatak;Málinec;2.68;6342;2.68;6 342
124;RS;Klenóc;Klenovec;2.94;4700;2.94;4 700
66;PT;Rimakokova;Kokava nad Rimavicou;15.29;4645;15.29;4 645
172;RS;Tiszolc;Tisovec;13.34;3860;13.34;3 860
12;LC;Fülek;Fiľakovo;96.66;2665;96.66;2 665
59;PT;Szinóbánya;Cinobaňa;14.94;2571;14.94;2 571
106;RS;Nyustya;Hnúšťa;43.7;2025;43.7;2 025
154;RS;Rimaszécs;Rimavská Seč;99.46;1653;99.46;1 653
179;RS;Vámosbalog;Veľký Blh;98.49;1586;98.49;1 586
11;LC;Dabar;Dobroč;1.17;1540;1.17;1 540
5;LC;Budaszállás;Budiná;1.08;1478;1.08;1 478
142;RS;Osgyán;Ožďany;95.03;1429;95.03;1 429
60;PT;Csehberek;České Brezovo;16.89;1403;16.89;1 403
10;LC;Divény;Divín;12.05;1278;12.05;1 278
107;RS;Várgede;Hodejov;97.65;1275;97.65;1 275
157;RS;Jánosi;Rimavské Janovce;96.14;1269;96.14;1 269
15;LC;Gács;Halič;50.92;1251;50.92;1 251
126;RS;Korláti;Konrádovce;91.35;1145;91.35;1 145
71;PT;Poltár;Poltár;22.46;1104;22.46;1 104
41;LC;Ragyolc;Radzovce;95.66;1059;95.66;1 059
30;LC;Vámosfalva;Mýtna;3.04;1052;3.04;1 052
65;PT;Kálnó;Kalinovo;22.46;1015;22.46;1 015
55;LC;Vilke;Veľká nad Ipľom;95.92;980;95.92;980
1;LC;Ábelfalva;Ábelová;5.69;966;5.69;966
56;LC;Nagydaróc;Veľké Dravce;98.12;957;98.12;957
167;RS;Serke;Širkovce;98.95;955;98.95;955
51;LC;Losonctamási;Tomášovce;5.5;909;5.5;909
120;RS;Feled;Jesenské;98.75;878;98.75;878
115;RS;Guszona;Husiná;92.48;864;92.48;864
64;PT;Fazekaszsaluzsány;Hrnčiarske Zalužany;2.55;864;2.55;864
23;LC;Lónyabánya;Lovinobaňa;9.39;841;9.39;841
105;RS;Ajnácskő;Hajnáčka;98.92;830;98.92;830
174;RS;Uzapanyit;Uzovská Panica;97.22;826;97.22;826
116;RS;Hanva;Chanava;99.63;811;99.63;811
76;PT;Ipolymagyari;Uhorské;9.27;798;9.27;798
49;LC;Sőreg;Šurice;98.49;795;98.49;795
62;PT;Várkút;Hradište;2.02;791;2.02;791
8;LC;Csákányháza;Čakanovce;99.87;786;99.87;786
180;RS;Balogújfalu;Vieska nad Blhom;99.36;783;99.36;783
85;RS;Balogfala;Blhovce;99.36;783;99.36;783
33;LC;Panyidaróc;Panické Dravce;97.7;782;97.7;782
34;LC;Fűrész;Píla;2.77;758;2.77;758
97;RS;Dobóca;Dubovec;99.07;752;99.07;752
24;LC;Nagylibercse;Ľuboreč;5.59;752;5.59;752
48;LC;Gömörsid;Šíd;98.66;748;98.66;748
80;RS;Abafalva;Abovce;99.86;738;99.86;738
110;RS;Gesztete;Hostice;98.89;722;98.89;722
45;LC;Gácsfalu;Stará Halič;3.19;722;3.19;722
3;LC;Fülekpüspöki;Biskupice;99.86;718;99.86;718
19;LC;Kotmány;Kotmanová;1.27;707;1.27;707
117;RS;Harmac;Chrámec;93.91;706;93.91;706
9;LC;Csomatelke;Čamovce;82.72;706;82.72;706
91;RS;Csíz;Číž;99.28;691;99.28;691
103;RS;Almágy;Gemerský Jablonec;99.85;677;99.85;677
74;PT;Susány;Sušany;9.37;662;9.37;662
127;RS;Sajószentkirály;Kráľ;99.55;661;99.55;661
176;RS;Méhi;Včelince;99.84;640;99.84;640
75;PT;Újantalfalva;Šoltýska;1.44;623;1.44;623
42;LC;Rapp;Rapovce;85.09;617;85.09;617
140;RS;Egyházasbást;Nová Bašta;99.84;610;99.84;610
145;RS;Gömörpéterfala;Petrovce;100;608;100;608
57;LC;Videfalva;Vidiná;28.5;593;28.5;593
53;LC;Tőrincs;Trenč;99.66;592;99.66;592
122;RS;Kálosa;Kaloša;98.3;589;98.3;589
166;RS;Rimasimonyi;Šimonovce;100;584;100;584
148;RS;Nemesradnót;Radnovce;99.65;577;99.65;577
133;RS;Sajólénártfalva;Lenartovce;100;559;100;559
29;LC;Mucsény;Mučín;97.32;559;97.32;559
36;LC;Fülekpilis;Pleš;95.52;558;95.52;558
101;RS;Détér;Gemerské Dechtáre;99.82;553;99.82;553
38;LC;Parlagos;Polichno;2;551;2;551
138;RS;Naprágy;Neporadza;100;549;100;549
54;LC;Tugár;Tuhár;0.91;549;0.91;549
44;LC;Rózsaszállás;Ružiná;1.65;546;1.65;546
13;LC;Fülekkovácsi;Fiľakovské Kováče;100;541;100;541
143;RS;Balogpádár;Padarovce;92.92;537;92.92;537
16;LC;Ipolygalsa;Holiša;100;536;100;536
153;RS;Rimabánya;Rimavská Baňa;11.8;534;11.8;534
156;RS;Rimabrézó;Rimavské Brezovo;28.18;511;28.18;511
52;LC;Terbeléd;Trebeľovce;94.9;510;94.9;510
181;RS;Velkenye;Vlkyňa;99.8;505;99.8;505
170;RS;Tajti;Tachty;99.79;483;99.79;483
160;RS;Runya;Rumince;98.96;481;98.96;481
177;RS;Vecseklő;Večelkov;99.79;478;99.79;478
83;RS;Bátka;Bátka;98.32;475;98.32;475
17;LC;Jelsőc;Jelšovec;95.97;472;95.97;472
4;LC;Bolyk;Boľkovce;97.84;464;97.84;464
78;PT;Losoncnagyfalu;Veľká Ves;3.07;456;3.07;456
31;LC;Ipolynyitra;Nitra nad Ipľom;100;453;100;453
46;LC;Füleksávoly;Šávoľ;97.56;450;97.56;450
40;LC;Perse;Prša;93.33;450;93.33;450
162;RS;Óbást;Stará Bašta;99.78;449;99.78;449
164;RS;Medveshidegkút;Studená;100;445;100;445
27;LC;Maskófalva;Mašková;4.35;437;4.35;437
35;LC;Pinc;Pinciná;89.51;429;89.51;429
67;PT;Kiskorna;Krná;9.15;426;9.15;426
63;PT;Cserepes;Hrnčiarska Ves;14.32;426;14.32;426
108;RS;Kerekgede;Hodejovec;99.53;423;99.53;423
99;RS;Gömörfüge;Figa;98.58;422;98.58;422
95;RS;Darnya;Drňa;99.52;418;99.52;418
58;PT;Ipolyberzence;Breznička;20.86;417;20.86;417
20;LC;Gácsliget;Lehôtka;3.13;416;3.13;416
26;LC;Gácslápos;Lupoč;3.13;416;3.13;416
93;RS;Perjése;Dražice;99.28;414;99.28;414
104;RS;Gortvakisfalud;Gortva;94.89;411;94.89;411
163;RS;Oldalfala;Stránska;100;410;100;410
2;LC;Béna;Belina;100;410;100;410
178;RS;Bakostörék;Veľké Teriakovce;15.75;400;15.75;400
88;RS;Cakó;Cakov;100;397;100;397
50;LC;Tósár;Točnica;6.85;394;6.85;394
82;RS;Baraca;Barca;99.48;387;99.48;387
28;LC;Miksi;Mikušovce;98.45;386;98.45;386
70;PT;Ozdin;Ozdín;5.04;377;5.04;377
112;RS;Rimaráhó;Hrachovo;29.65;371;29.65;371
94;RS;Derencsény;Drienčany;9.24;368;9.24;368
185;RS;Zeherje;Zacharovce;97.52;363;97.52;363
39;LC;Gácsprága;Praha;1.65;363;1.65;363
144;RS;Rimapálfala;Pavlovce;100;361;100;361
118;RS;Balogiványi;Ivanice;100;358;100;358
168;RS;Gömörispánmező;Španie Pole;6.27;351;6.27;351
61;PT;Vágó;Ďubákovo;2.6;346;2.6;346
151;RS;Ratkószuha;Ratkovská Suchá;4.94;344;4.94;344
37;LC;Patakalja;Podrečany;11.34;344;11.34;344
114;RS;Hubó;Hubovo;100;343;100;343
136;RS;Kőhegy;Lukovištia;10.23;342;10.23;342
111;RS;Gesztes;Hostišovce;3.24;340;3.24;340
18;LC;Kalonda;Kalonda;92.42;330;92.42;330
6;LC;Bolgárom;Bulhary;96.64;327;96.64;327
73;PT;Telep;Selce;11.69;325;11.69;325
165;RS;Szútor;Sútor;98.75;321;98.75;321
149;RS;Rakottyás;Rakytník;99.68;317;99.68;317
119;RS;Jéne;Janice;100;315;100;315
169;RS;Kövecses;Štrkovec;99.68;311;99.68;311
182;RS;Felsővály;Vyšné Valice;100;309;100;309
72;PT;Ipolyróna;Rovňany;13.44;305;13.44;305
132;RS;Rimaszabadi;Lehota nad Rimavicou;4.62;303;4.62;303
89;RS;Cserencsény;Čerenčany;29.57;301;29.57;301
173;RS;Balogtamási;Tomášovce;94.97;298;94.97;298
135;RS;Gömörlipóc;Lipovec;8.47;295;8.47;295
129;RS;Kopárhegy;Krokava;0;293;0;293
21;LC;Lentő;Lentvora;0.68;292;0.68;292
32;LC;Kétkeresztúr;Nové Hony;55.67;291;55.67;291
92;RS;Magyarhegymeg;Dolné Zahorany;99.64;280;99.64;280
137;RS;Nemesmartonfala;Martinová;100;278;100;278
175;RS;Alsóvály;Valice;93.7;254;93.7;254
69;PT;Nemesfalva;Mládzovo;5.16;252;5.16;252
125;RS;Kecege;Kociha;15.94;251;15.94;251
171;RS;Meleghegy;Teplý Vrch;18.26;241;18.26;241
150;RS;Ratkószabadi;Ratkovská Lehota;13.08;237;13.08;237
113;RS;Balogrussó;Hrušovo;9.17;229;9.17;229
134;RS;Sajólenke;Lenka;100;227;100;227
186;RS;Zsip;Žíp;100;226;100;226
161;RS;Szeleste;Slizké;5.75;226;5.75;226
100;RS;Kisgömöri;Gemerček;98.67;225;98.67;225
128;RS;Karaszkó;Kraskovo;6.67;225;6.67;225
123;RS;Sajókeszi;Kesovce;100;222;100;222
14;LC;Gergelyfalva;Gregorova Vieska;4.11;219;4.11;219
121;RS;Jeszte;Jestice;100;218;100;218
152;RS;Sajórecske;Riečka;99.53;211;99.53;211
98;RS;Dúlháza;Dulovo;85.71;210;85.71;210
87;RS;Bugyikfala;Budikovany;13.13;198;13.13;198
96;RS;Dobfenek;Dubno;100;198;100;198
81;RS;Babarét;Babinec;3.08;195;3.08;195
159;RS;Rónapatak;Rovné;9.34;182;9.34;182
147;RS;Dobrapatak;Potok;10.61;179;10.61;179
109;RS;Tóthegymeg;Horné Zahorany;3.37;178;3.37;178
102;RS;Gömörmihályfalva;Gemerské Michalovce;100;167;100;167
139;RS;Alsósziklás;Nižný Skálnik;7.45;161;7.45;161
184;RS;Zádorháza;Zádor;100;160;100;160
183;RS;Felsősziklás;Vyšný Skálnik;5.7;158;5.7;158
146;RS;Gömörhegyvég;Poproč;1.31;153;1.31;153
84;RS;Bellény;Belín;100;146;100;146
158;RS;Rimazsaluzsány;Rimavské Zalužany;12.41;137;12.41;137
131;RS;Kiéte;Kyjatice;4.62;130;4.62;130
90;RS;Feketepatak;Čierny Potok;;;Adathiány;Adathiány
86;RS;Bottovó;Bottovo;;;Adathiány;Adathiány
