jaras;id;nev_hu;nev_sk;pop_teljes;arany
LC;25;Losonc;Lučenec;28 475;9.34
RS;155;Rimaszombat;Rimavská Sobota;24 640;29.62
LC;12;Fülek;Fiľakovo;10 817;53.55
RS;106;Nyustya;Hnúšťa;7 781;0.66
PT;71;Poltár;Poltár;5 826;0.41
RS;172;Tiszolc;Tisovec;4 306;0.26
RS;124;Klenóc;Klenovec;3 324;0.12
PT;66;Rimakokova;Kokava nad Rimavicou;3 035;0.13
PT;59;Szinóbánya;Cinobaňa;2 399;0.17
PT;65;Kálnó;Kalinovo;2 236;0.72
RS;120;Feled;Jesenské;2 193;50.34
LC;23;Lónyabánya;Lovinobaňa;2 167;0.28
LC;10;Divény;Divín;2 066;0.24
RS;154;Rimaszécs;Rimavská Seč;1 936;91.06
LC;57;Videfalva;Vidiná;1 855;1.83
LC;15;Gács;Halič;1 697;1.18
RS;142;Osgyán;Ožďany;1 629;20.14
RS;107;Várgede;Hodejov;1 577;33.61
LC;41;Ragyolc;Radzovce;1 574;67.28
PT;68;Málnapatak;Málinec;1 518;0.13
LC;51;Losonctamási;Tomášovce;1 383;1.01
RS;157;Jánosi;Rimavské Janovce;1 319;29.64
LC;48;Gömörsid;Šíd;1 227;83.54
RS;179;Vámosbalog;Veľký Blh;1 210;55.87
RS;105;Ajnácskő;Hajnáčka;1 193;81.48
LC;30;Vámosfalva;Mýtna;1 188;0.00
LC;3;Fülekpüspöki;Biskupice;1 138;71.18
LC;8;Csákányháza;Čakanovce;1 111;78.40
PT;77;Újantalvölgy;Utekáč;1 038;0.39
RS;110;Gesztete;Hostice;1 021;48.48
LC;42;Rapp;Rapovce;979;29.21
PT;63;Cserepes;Hrnčiarska Ves;976;0.82
RS;127;Sajószentkirály;Kráľ;969;54.90
RS;83;Bátka;Bátka;968;72.31
LC;55;Vilke;Veľká nad Ipľom;947;34.85
LC;52;Terbeléd;Trebeľovce;943;16.12
RS;167;Serke;Širkovce;936;52.88
LC;13;Fülekkovácsi;Fiľakovské Kováče;908;46.37
RS;178;Bakostörék;Veľké Teriakovce;887;3.27
PT;64;Fazekaszsaluzsány;Hrnčiarske Zalužany;874;1.72
LC;44;Rózsaszállás;Ružiná;870;0.11
RS;112;Rimaráhó;Hrachovo;869;1.38
RS;148;Nemesradnót;Radnovce;825;87.03
RS;176;Méhi;Včelince;818;66.63
RS;85;Balogfala;Blhovce;791;60.68
PT;58;Ipolyberzence;Breznička;784;0.38
LC;29;Mucsény;Mučín;750;17.33
LC;33;Panyidaróc;Panické Dravce;743;35.40
RS;122;Kálosa;Kaloša;735;65.85
RS;116;Hanva;Chanava;710;86.76
RS;174;Uzapanyit;Uzovská Panica;709;46.83
RS;103;Almágy;Gemerský Jablonec;693;77.34
LC;16;Ipolygalsa;Holiša;689;46.01
LC;56;Nagydaróc;Veľké Dravce;688;53.92
RS;91;Csíz;Číž;666;62.61
LC;45;Gácsfalu;Stará Halič;656;0.30
LC;11;Dabar;Dobroč;650;0.46
LC;4;Bolyk;Boľkovce;650;19.23
LC;2;Béna;Belina;642;77.41
RS;80;Abafalva;Abovce;593;66.95
LC;37;Patakalja;Podrečany;583;0.34
LC;9;Csomatelke;Čamovce;577;59.79
LC;46;Füleksávoly;Šávoľ;573;67.19
RS;166;Rimasimonyi;Šimonovce;571;55.87
PT;76;Ipolymagyari;Uhorské;564;0.35
RS;156;Rimabrézó;Rimavské Brezovo;557;0.90
RS;97;Dobóca;Dubovec;555;62.52
RS;89;Cserencsény;Čerenčany;550;3.64
RS;133;Sajólénártfalva;Lenartovce;543;93.37
RS;115;Guszona;Husiná;538;70.45
RS;140;Egyházasbást;Nová Bašta;537;74.86
RS;153;Rimabánya;Rimavská Baňa;534;0.00
RS;104;Gortvakisfalud;Gortva;528;78.41
LC;7;Bozita;Buzitka;526;7.98
RS;170;Tajti;Tachty;524;94.27
RS;165;Szútor;Sútor;514;12.65
